longitude,latitude,LC,city,dataset,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NDBI,elevation,slope,aspect,texture_contrast,texture_entropy
-75.5718961706599,6.261571940662507,0,Medellin,training,0.3752,0.4544,0.4644,0.5424,0.6772,0.6411,0.07747319,0.1287298834256012,0.07764800498292933,0.053515878,1466,6.227055,63.57184,1081310.7440476192,4.34961558285492
-75.57072836079054,6.259056657866972,0,Medellin,training,0.2304,0.2266,0.2176,0.1946,0.24,0.2597,-0.060067255,-0.08618309495198136,-0.04092991345665126,0.09778358,1468,6.7242575,16.036116,14786.39583333333,4.348927936842459
-75.59462354734812,6.26220076136139,0,Medellin,training,0.0594,0.0694,0.0993,0.1266,0.2023,0.1779,0.12958439,0.05959968799002735,0.06205420604509282,0.23016116,1496,9.214713,217.03462,176034.28373015873,4.353741458929681
-75.58968281328546,6.257260027298733,0,Medellin,training,0.1184,0.1454,0.2196,0.2324,0.2051,0.1254,0.033348154,0.022357360970099042,0.02368919867727014,-0.06855982,1488,5.547545,180.0,168260.7886904762,4.34961558285492
-75.59992360752442,6.2583380056396765,0,Medellin,training,0.13,0.138,0.1716,0.2054,0.2421,0.2068,0.082590595,0.05633168424102085,0.04984459759704795,0.118076414,1500,1.8654435,270.0,272190.07837301586,4.283601565658734
-75.5764775786089,6.2767534689641264,0,Medellin,training,0.1886,0.2044,0.1924,0.2336,0.2083,0.1851,0.06793802,0.03645433461991378,0.025606467559214544,-0.05425652,1482,3.3465235,33.849247,122569.20436507935,4.353741458929681
-75.57836404070555,6.277202626606186,0,Medellin,training,0.1009,0.1282,0.1466,0.1908,0.2316,0.2173,0.1308704,0.08411678275051523,0.07651941789161007,0.09659092,1509,10.514752,105.167885,41117.44642857141,4.353741458929681
-75.56075706113681,6.274507680753827,0,Medellin,training,0.1898,0.2114,0.2206,0.2258,0.239,0.2289,0.060767587,0.05850805622151545,0.04128441072460502,0.0022562023,1498,13.727369,270.0,145098.52480158728,4.353741458929681
-75.56623678436993,6.275585659094771,0,Medellin,training,0.083,0.0996,0.1168,0.1462,0.2113,0.2028,0.1075419,0.05923881176657193,0.05757096851878002,0.18607916,1456,1.8655051,90.0,198301.69047619042,4.353741458929681
-75.56461981685852,6.276394142850479,0,Medellin,training,0.103,0.1216,0.133,0.1832,0.2727,0.2532,0.15876028,0.10383056177556262,0.09225680020659341,0.16134,1458,2.9463065,251.66814,75109.97519841272,4.34961558285492
-75.56578762672788,6.281784034555196,0,Medellin,training,0.1562,0.1666,0.1916,0.2294,0.2677,0.2668,0.09404097,0.0848311738779722,0.06518932617769826,0.09316059,1488,8.388449,276.30243,105425.19543650796,4.353741458929681
-75.563631670046,6.282233192197255,0,Medellin,training,0.0917,0.1094,0.139,0.172,0.1982,0.1897,0.119831815,0.06498622950578714,0.06531703264411129,0.06000002,1510,3.3542783,56.469025,113190.42063492064,4.348927936842459
-75.56174520794934,6.2827721813677275,0,Medellin,training,0.0835,0.0874,0.0946,0.1594,0.1897,0.1825,0.17872547,0.09223998691196487,0.07894738004071147,0.086794615,1519,4.1605997,296.42725,347822.34126984136,4.345489706780159
-75.56336217546075,6.281784034555196,0,Medellin,training,0.0755,0.0706,0.0624,0.3002,0.2765,0.2553,0.6275413,0.5410648042859311,0.39964320730410374,-0.069000356,1510,8.517552,310.43088,262845.77976190473,4.353741458929681
-75.56021807196635,6.280975550799488,0,Medellin,training,0.0897,0.115,0.122,0.1726,0.1971,0.1762,0.11930585,0.08325133974116858,0.07596684917044201,0.06742487,1512,6.2272396,116.42731,57233.17162698412,4.337237954630635
-75.55833160986968,6.280436561629016,0,Medellin,training,0.0828,0.1019,0.1228,0.1818,0.2239,0.2251,0.15017301,0.07616146226078743,0.08250950041099536,0.1030761,1527,12.483485,287.006,79222.44841269845,4.353741458929681
-75.56183503947776,6.279358583288073,0,Medellin,training,0.0726,0.0912,0.1158,0.1646,0.2472,0.2333,0.16731016,0.09355507300985229,0.09626258212904874,0.19964975,1497,6.227224,243.57262,292425.3115079365,4.353741458929681
-75.5629130178187,6.279628077873309,0,Medellin,training,0.0748,0.0978,0.1504,0.1912,0.2992,0.2808,0.11686817,0.06534054501297595,0.07186688933885058,0.19536556,1503,2.0755343,206.70323,96054.30357142858,4.348927936842459
-75.56686560506883,6.278460268003953,0,Medellin,training,0.1312,0.1434,0.1602,0.1832,0.1943,0.1854,0.10093766,0.07665883328043922,0.06364478395613772,0.015785867,1450,10.096576,180.0,78583.09424603175,4.353741458929681
-75.57108768690419,6.278909425646013,0,Medellin,training,0.1704,0.1892,0.2106,0.2214,0.3591,0.3782,0.022380468,0.01985111340534529,0.015384613057839731,0.24592592,1473,4.7196913,11.376411,60481.387896825414,4.257471017185245
-75.57171650760307,6.281334876913136,0,Medellin,training,0.0692,0.0938,0.0958,0.1924,0.1786,0.1512,0.2992603,0.1763214385313146,0.16741912796121686,-0.017182114,1472,9.597352,163.20557,116056.66765873015,4.353741458929681
-75.55258239205132,6.279987403986957,0,Medellin,training,0.0706,0.0905,0.1086,0.1506,0.2133,0.1858,0.12651895,0.06777853649492568,0.06832138982839614,0.17294474,1608,6.227229,243.57265,77413.95238095238,4.353741458929681
-75.55033660384103,6.281245045384724,0,Medellin,training,0.0995,0.109,0.1176,0.1568,0.2141,0.1951,0.08247423,0.05426488409029425,0.04738401048391576,0.15635969,1663,7.646052,283.9553,75120.02579365083,4.353741458929681
-75.54961795161373,6.281784034555196,0,Medellin,training,0.1152,0.1422,0.1576,0.2156,0.2147,0.1878,0.094059415,0.06751955002008346,0.06305310155719937,-0.0016320825,1670,11.094686,265.26483,164358.7648809524,4.348927936842459
-75.54782132104549,6.281694203026784,0,Medellin,training,0.068,0.0714,0.0858,0.1224,0.1943,0.181,0.14774492,0.0814883212496925,0.07537491209402888,0.22629583,1698,13.600684,289.5448,77507.33928571428,4.348927936842459
-75.55123491912515,6.2789992571744255,0,Medellin,training,0.0934,0.1164,0.1438,0.1684,0.2155,0.21,0.119103774,0.04663407723716252,0.04581281227520947,0.06225298,1632,6.503542,270.0,159593.0763888889,4.353741458929681
-75.55330104427863,6.279178920231249,0,Medellin,training,0.0758,0.098,0.1214,0.1656,0.2087,0.1892,0.1556176,0.08336477433767002,0.08504958505352535,0.11514827,1591,11.385348,283.95532,84716.86111111114,4.34961558285492
-75.54907896244326,6.278909425646013,0,Medellin,training,0.067,0.0949,0.0907,0.176,0.2264,0.2065,0.16747572,0.0921198545517331,0.08954154112269468,0.1252485,1681,12.254824,257.08072,210545.30456349195,4.345489706780159
-75.54539586977837,6.279268751759661,0,Medellin,training,0.1422,0.1672,0.1904,0.2278,0.233,0.2071,0.050862834,0.04643832631732678,0.03572946349354965,0.06558849,1763,17.54312,258.18066,183991.54265873012,4.353741458929681
-75.54530603824996,6.281424708441548,0,Medellin,training,0.0842,0.1116,0.1148,0.1658,0.2093,0.2026,0.15209123,0.1031459715483063,0.08827855576175893,0.116564415,1755,19.02721,289.18274,54883.23412698414,4.341363830705396
-75.5486298048012,6.283041675952963,0,Medellin,training,0.31,0.3428,0.3452,0.374,0.2656,0.2241,0.024917727,0.06427425908719932,0.023541606738802054,-0.16627266,1688,10.317346,280.24426,378667.63194444455,4.348927936842459
-75.55285188663656,6.275405996037947,0,Medellin,training,0.0772,0.0844,0.095,0.1344,0.2044,0.1917,0.16346155,0.08280565603256035,0.0816831531767152,0.23115833,1606,10.19669,275.16348,168631.43948412692,4.345489706780159
-75.55401969650592,6.275675490623183,0,Medellin,training,0.0872,0.1056,0.1132,0.157,0.176,0.1578,0.12262959,0.07864440199636136,0.07128858687125185,0.061519913,1586,4.1605535,296.42755,81378.98511904766,4.353741458929681
-75.5501569407842,6.276124648265243,0,Medellin,training,0.0644,0.0788,0.085,0.1732,0.1906,0.1814,0.34159565,0.1837193703798867,0.17449221006026688,0.047828488,1641,10.514732,285.1679,64324.952380952396,4.273974521484291
-75.55258239205132,6.277202626606186,0,Medellin,training,0.0795,0.092,0.1078,0.1404,0.2191,0.2119,0.14372623,0.07587707535162912,0.07227456686782198,0.18795377,1611,0.92740995,180.0,89013.58035714284,4.34961558285492
-75.55455868567638,6.277022963549363,0,Medellin,training,0.113,0.1472,0.1556,0.1764,0.2008,0.1853,0.05989113,0.04118813787162497,0.03750001679067137,0.062434297,1581,12.464621,234.13635,94327.36706349209,4.27397452148429
-75.55869093598334,6.275585659094771,0,Medellin,training,0.1604,0.2136,0.2036,0.2186,0.2467,0.2199,0.035528187,0.030310378723282325,0.02439817899474363,0.0314041,1529,11.204555,260.59335,172268.83134920633,4.34961558285492
-75.55878076751175,6.27693313202095,0,Medellin,training,0.1032,0.1182,0.1434,0.173,0.2498,0.2494,0.09967143,0.06709925851203753,0.06310680531314233,0.14498615,1520,7.4363284,187.16754,64607.41170634924,4.353741458929681
-75.55922992515382,6.276843300492539,0,Medellin,training,0.1056,0.113,0.1434,0.1656,0.2473,0.2528,0.09547741,0.05230040244339779,0.05018296082605089,0.19649448,1518,11.199134,215.15404,109528.45138888888,4.353741458929681
-75.56542830061423,6.273968691583356,0,Medellin,training,0.0872,0.0934,0.1144,0.1422,0.208,0.1929,0.10784314,0.05404332668315046,0.05316863548858783,0.2071395,1459,5.247787,314.8279,72463.81746031746,4.348927936842459
-75.57306398052926,6.2898688721122715,0,Medellin,training,0.11,0.1144,0.1418,0.172,0.2117,0.2131,0.096239656,0.05666185598249099,0.05321334923403434,0.10478527,1534,11.058964,221.80539,295296.693452381,4.353741458929681
-75.57881319834762,6.289689209055448,0,Medellin,training,0.13,0.1312,0.15,0.1758,0.2491,0.2627,0.091533154,0.06604782686495474,0.0537411484179256,0.17251119,1598,3.8198397,194.11786,21483.93055555556,4.3441144147552375
-75.58339460629662,6.289509545998624,0,Medellin,training,0.0673,0.0812,0.0844,0.108,0.1772,0.189,0.10308183,0.04387353743895519,0.042284221138256445,0.24502905,1652,10.736252,159.90555,76753.81646825398,4.287727441733496
-75.58653870979104,6.286455274032617,0,Medellin,training,0.0888,0.1014,0.1332,0.1628,0.2556,0.2609,0.09999998,0.05630141244583625,0.05577888369186974,0.2001824,1660,8.517596,130.43063,40691.0238095238,4.335175016593254
-75.57989117668856,6.286455274032617,0,Medellin,training,0.1394,0.157,0.163,0.1948,0.22,0.2124,0.08887647,0.0705224902707305,0.05560737049157363,0.05155748,1584,10.317409,79.7558,77732.39384920635,4.34961558285492
